Gene	Coarse module	Fine module	Comments
NLK	1	6	
NT5DC1	1	6	
PAPOLG	1	6	
PCMTD2	1	6	
PKNOX1	1	6	
RAPGEF6	1	6	
RUFY2	1	6	
SENP7	1	6	
SESN3	1	6	
SP4	1	6	
STAT4	1	6	
TIGD2	1	6	
TRNT1	1	6	
UBR1	1	6	
USP48	1	6	
UTRN	1	6	
ZDHHC20	1	6	
ZFP418	1	6	
ZFP420	1	6	
ZFP512	1	6	
5430411C19RIK	1	7	
ARV1	1	7	
AVEN	1	7	
BZW2	1	7	
CEP97	1	7	
DDX31	1	7	
DPH5	1	7	
HOOK1	1	7	
SLC17A9	1	7	
SNORD96A	1	7	
SRPK1	1	7	
SRPK2	1	7	
TASP1	1	7	
TTC13	1	7	
ZBTB25	1	7	
1700094D03RIK	1	8	
5830427D03RIK	1	8	
AU017193	1	8	
B230325K18RIK	1	8	
C430014K11RIK	1	8	
D4WSU53E	1	8	
ENSMUSG00000065996	1	8	
GM10099	1	8	
GM10158	1	8	
LOC100134980	1	8	
PHXR4	1	8	
SNORA19	1	8	
TBRG3	1	8	
ZBTB37	1	8	
4932441K18RIK	1	9	
AMMECR1	1	9	
AP1S3	1	9	
ATRX	1	9	
BTAF1	1	9	
CCDC111	1	9	
CCDC41	1	9	
CDC14A	1	9	
CLK4	1	9	
CWF19L2	1	9	
DEK	1	9	
DMTF1	1	9	
DNAJC13	1	9	
EIF3A	1	9	
EIF5B	1	9	
ERBB2IP	1	9	
FNBP4	1	9	
GCC2	1	9	
GM9938	1	9	
GPD2	1	9	
NKTR	1	9	
NSMAF	1	9	
NUFIP2	1	9	
PCF11	1	9	
PHIP	1	9	
PPIG	1	9	
PRPF39	1	9	
PRPF40A	1	9	
PRPF4B	1	9	
PSME4	1	9	
PURB	1	9	
RBM25	1	9	
RBM39	1	9	
RSRC2	1	9	
SASS6	1	9	
SDCCAG1	1	9	
SETD2	1	9	
SLMAP	1	9	
STRN3	1	9	
THOC2	1	9	
TOP1	1	9	
TPR	1	9	
TRPM7	1	9	
UPF2	1	9	
USP15	1	9	
USP16	1	9	
USP9X	1	9	
ZBTB41	1	9	
ZFP445	1	9	
ZFP518	1	9	
ZFP800	1	9	
4933411K20RIK	1	10	
ARID2	1	10	
BAT2D	1	10	
BPTF	1	10	
ELF1	1	10	
KDM3A	1	10	
KDM5A	1	10	
KHDRBS1	1	10	
MSI2	1	10	
MSL2	1	10	
NCOR1	1	10	
PBRM1	1	10	
PMS1	1	10	
PRKD3	1	10	
REV3L	1	10	
RFX7	1	10	
RICTOR	1	10	
RMND5A	1	10	
RNGTT	1	10	
RTF1	1	10	
SENP6	1	10	
SETX	1	10	
SHPRH	1	10	
SMC4	1	10	
STRBP	1	10	
SYNRG	1	10	
TOP2B	1	10	
USP7	1	10	
ZFP148	1	10	
ZFP644	1	10	
A230067G21RIK	1	11	
CAB39	1	11	
CAST	1	11	
CYLD	1	11	
DENND1B	1	11	
EFR3A	1	11	
FRYL	1	11	
HECTD1	1	11	
LNPEP	1	11	
MBNL1	1	11	
PELI1	1	11	
PPP1R12A	1	11	
RPS6KA3	1	11	
SMAP1	1	11	
STIM2	1	11	
TRIP4	1	11	
USP25	1	11	
1700052N19RIK	2	12	
ADAL	2	12	
ALKBH8	2	12	
CLUAP1	2	12	
D330012F22RIK	2	12	
DDX10	2	12	
FASTKD1	2	12	
FV1	2	12	
GLMN	2	12	
GM4383	2	12	
GM9897	2	12	
GM9900	2	12	
GM9983	2	12	
GNPAT	2	12	
IBTK	2	12	
KIF3C	2	12	
MAK16	2	12	
METTL4	2	12	
MIOS	2	12	
MTERF	2	12	
MTRF1L	2	12	
NARG2	2	12	
NUP160	2	12	
ORMDL1	2	12	
POLE4	2	12	
PUS3	2	12	
RARS2	2	12	
RG9MTD1	2	12	
TAF1B	2	12	
TFAM	2	12	
TMEM81	2	12	
TRMT11	2	12	
USPL1	2	12	
ZFP146	2	12	
ZFP280C	2	12	
ZFP322A	2	12	
ZFP85-RS1	2	12	
ZFP87	2	12	
ZRANB2	2	12	
2610101N10RIK	2	13	
5830415L20RIK	2	13	
AHCTF1	2	13	
AKAP11	2	13	
ATR	2	13	
BCLAF1	2	13	
CCAR1	2	13	
CEBPZ	2	13	
CHD9	2	13	
ESF1	2	13	
FUSIP1	2	13	
HNRNPH1	2	13	
HNRNPH3	2	13	
HUWE1	2	13	
KIF2A	2	13	
LARP4	2	13	
LRRCC1	2	13	
MTDH	2	13	
MTIF2	2	13	
NVL	2	13	
PNN	2	13	
R3HDM1	2	13	
RAD50	2	13	
RANBP2	2	13	
SFRS12	2	13	
SMARCAD1	2	13	
SSB	2	13	
SUHW4	2	13	
THOC1	2	13	
UBA6	2	13	
ZMYM4	2	13	
2310037I24RIK	2	14	
ANP32B	2	14	
ANP32E	2	14	
ASF1A	2	14	
CASP2	2	14	
CBX1	2	14	
CENPO	2	14	
CEP72	2	14	
CSTF2	2	14	
DGCR8	2	14	
GABPB1	2	14	
GM10482	2	14	
GM11362	2	14	
GM5263	2	14	
HDAC2	2	14	
HIBADH	2	14	
HMG1L1	2	14	
HMGB1	2	14	
HYLS1	2	14	
IPP	2	14	
LIN9	2	14	
LOC100045972	2	14	
MRE11A	2	14	
MSH6	2	14	
MTF2	2	14	
MYB	2	14	
NUCKS1	2	14	
PHF16	2	14	
PRPS2	2	14	
RALGPS1	2	14	
RBMX	2	14	
RBMXRT	2	14	
RNASEN	2	14	
SFRS1	2	14	
SMARCA4	2	14	
SMARCC1	2	14	
TARDBP	2	14	
TFDP2	2	14	
TFRC	2	14	
TIA1	2	14	
UEVLD	2	14	
XRCC6	2	14	
ZBED4	2	14	
ZMYM1	2	14	
2810026P18RIK	2	15	
BCS1L	2	15	
CCDC58	2	15	
DCPS	2	15	
E2F6	2	15	
EXOSC7	2	15	
FAM136A	2	15	
MRPS22	2	15	
PEO1	2	15	
RPP30	2	15	
RPP40	2	15	
SHQ1	2	15	
SSBP1	2	15	
TIMM9	2	15	
WDR5	2	15	
WDR77	2	15	
1110008L16RIK	2	16	
FGFR1OP	2	16	
GM10052	2	16	
HNRNPA1	2	16	
HNRNPA1L2	2	16	
HNRNPA3	2	16	
IVNS1ABP	2	16	
NAP1L1	2	16	
RAD9B	2	16	
REV1	2	16	
TRIT1	2	16	
1110028C15RIK	2	17	
2700049A03RIK	2	17	
5730419I09RIK	2	17	
5730601F06RIK	2	17	
5830418K08RIK	2	17	
AFF3	2	17	
BMS1	2	17	
CENPJ	2	17	
CEP192	2	17	
CNOT2	2	17	
CNOT6	2	17	
CPSF6	2	17	
CTDSPL2	2	17	
DDX46	2	17	
ETAA1	2	17	
G2E3	2	17	
GSPT1	2	17	
HAUS6	2	17	
HELB	2	17	
HISPPD1	2	17	
HNRNPR	2	17	
IWS1	2	17	
NARG1L	2	17	
NPAT	2	17	
NUDCD1	2	17	
ORC2L	2	17	
OTUD4	2	17	
PDS5A	2	17	
PDS5B	2	17	
PHF6	2	17	
PPP3CB	2	17	
PRKDC	2	17	
PSIP1	2	17	
RAD21	2	17	
RIF1	2	17	
SMC1A	2	17	
SYNCRIP	2	17	
TAF2	2	17	
TERF1	2	17	
TEX10	2	17	
TLK2	2	17	
YEATS2	2	17	
ZBTB1	2	17	
ZFP101	2	17	
ZFP39	2	17	
4930503L19RIK	2	18	
CASP8AP2	2	18	
CCDC104	2	18	
CDC27	2	18	
CENPC1	2	18	
CKAP5	2	18	
CPSF2	2	18	
CSE1L	2	18	
CSTF3	2	18	
CUL4B	2	18	
DHX9	2	18	
DNAJC2	2	18	
DNAJC21	2	18	
LARP7	2	18	
MATR3	2	18	
MPHOSPH10	2	18	
NARG1	2	18	
NSBP1	2	18	
PPWD1	2	18	
RFC1	2	18	
SKIV2L2	2	18	
SMARCA5	2	18	
SMC3	2	18	
SUPT16H	2	18	
SUZ12	2	18	
TAF15	2	18	
TCERG1	2	18	
TOMM70A	2	18	
USP37	2	18	
VMN2R-PS14	2	18	
XPO1	2	18	
ADAMTS6	2	19	
BACH2	2	19	
D130062J21RIK	2	19	
D730040F13RIK	2	19	
ERCC6	2	19	
ETNK1	2	19	
FOXP1	2	19	
MLH3	2	19	
NOL8	2	19	
RFX3	2	19	
THADA	2	19	
USP24	2	19	
1500032L24RIK	3	20	
1810035L17RIK	3	20	
1810037I17RIK	3	20	
2010107E04RIK	3	20	
2610001J05RIK	3	20	
2900010M23RIK	3	20	
2900064A13RIK	3	20	
AP2S1	3	20	
ATP5J2	3	20	
BC002163	3	20	
BET1	3	20	
CASP6	3	20	
CHCHD2	3	20	
CIB1	3	20	
COMMD6	3	20	
COX4I1	3	20	
COX5B	3	20	
COX6A1	3	20	
COX6B1	3	20	
COX6C	3	20	
COX7A2	3	20	
COX7B	3	20	
COX7C	3	20	
COX8A	3	20	
CRELD2	3	20	
DBI	3	20	
DPM1	3	20	
EBP	3	20	
ESD	3	20	
FKBP2	3	20	
GM11401	3	20	
GM13352	3	20	
GM15730	3	20	
GM2701	3	20	
GM6181	3	20	
GMPPB	3	20	
GNG5	3	20	
HYOU1	3	20	
IER3IP1	3	20	
LOC638798	3	20	
LSMD1	3	20	
MANF	3	20	
MRPS21	3	20	
MRPS33	3	20	
MTCH2	3	20	
MYEOV2	3	20	
NDUFA1	3	20	
NDUFA2	3	20	
NDUFA3	3	20	
NDUFB10	3	20	
NDUFB11	3	20	
NDUFB5	3	20	
NDUFB6	3	20	
NDUFB8	3	20	
NDUFB9	3	20	
NDUFC1	3	20	
NDUFC2	3	20	
NDUFS5	3	20	
NDUFS8	3	20	
NEDD8	3	20	
PIGF	3	20	
PRDX1	3	20	
PSMB2	3	20	
PSMB6	3	20	
PTPN1	3	20	
RBX1	3	20	
SAP18	3	20	
SDF2L1	3	20	
SDHB	3	20	
SDHD	3	20	
SF3B5	3	20	
SHFM1	3	20	
SLC35B1	3	20	
SOD2	3	20	
SPCS1	3	20	
SRP14	3	20	
SRP9	3	20	
SSR4	3	20	
TBCA	3	20	
TCEB2	3	20	
TIMM8B	3	20	
TMCO1	3	20	
TMEM14C	3	20	
TRAPPC1	3	20	
TRAPPC2L	3	20	
TXN1	3	20	
UFC1	3	20	
UQCRB	3	20	
UQCRQ	3	20	
USMG5	3	20	
VPS29	3	20	
2810021G02RIK	3	21	
3100002L24RIK	3	21	
ATXN3	3	21	
CRYZL1	3	21	
FAM126B	3	21	
GM14403	3	21	
GM14420	3	21	
GM14434	3	21	
GTPBP8	3	21	
LCORL	3	21	
PCCA	3	21	
RNFT1	3	21	
ZFAND1	3	21	
ZFP455	3	21	
ZHX1	3	21	
1700029F09RIK	3	22	
2310003F16RIK	3	22	
2900010J23RIK	3	22	
8430410A17RIK	3	22	
ATP5G3	3	22	
ATP5O	3	22	
BCAP31	3	22	
CDK2AP1	3	22	
COPS5	3	22	
COPS6	3	22	
D930014E17RIK	3	22	
DYNLL1	3	22	
DYNLRB1	3	22	
EIF1B	3	22	
EIF3M	3	22	
GM11971	3	22	
GM6581	3	22	
GTF2B	3	22	
IMMP1L	3	22	
L7RN6	3	22	
LOC100044517	3	22	
LSM3	3	22	
LSM6	3	22	
MAGOH	3	22	
MPHOSPH6	3	22	
MRPL32	3	22	
MRPL51	3	22	
MRPS17	3	22	
NDUFS4	3	22	
NDUFV1	3	22	
NHP2L1	3	22	
PHF5A	3	22	
PLRG1	3	22	
POP4	3	22	
PSMA2	3	22	
PSMB3	3	22	
PSMD6	3	22	
RBM3	3	22	
SAR1B	3	22	
SSNA1	3	22	
SSR2	3	22	
SUMO2	3	22	
TSN	3	22	
UBE2A	3	22	
ZBTB8OS	3	22	
1110054O05RIK	3	23	
1110059G10RIK	3	23	
1600012F09RIK	3	23	
2410127L17RIK	3	23	
2410129H14RIK	3	23	
ARL6IP6	3	23	
ARPP19	3	23	
ASNSD1	3	23	
ATP2A2	3	23	
AZIN1	3	23	
BCAP29	3	23	
BRCC3	3	23	
BRMS1L	3	23	
BTF3L4	3	23	
CETN3	3	23	
CMPK1	3	23	
E330021D16RIK	3	23	
EIF3J	3	23	
ENY2	3	23	
FUS	3	23	
HAUS2	3	23	
MAPRE1	3	23	
MED6	3	23	
MTCP1	3	23	
NAT13	3	23	
OLA1	3	23	
OTUD6B	3	23	
PARP2	3	23	
PEX7	3	23	
POLR2K	3	23	
PPP2R3C	3	23	
PSMD12	3	23	
PSMD14	3	23	
PTS	3	23	
RHEB	3	23	
SFRS7	3	23	
SLC39A10	3	23	
TAF9	3	23	
UCHL5	3	23	
UTP14A	3	23	
0610007P14RIK	3	24	
ABHD15	3	24	
ALDH1B1	3	24	
ARD1A	3	24	
ATP5D	3	24	
ATP5G1	3	24	
D17WSU104E	3	24	
DAD1	3	24	
DOHH	3	24	
DYRK3	3	24	
ERGIC1	3	24	
IRF2BP2	3	24	
KRTCAP2	3	24	
LRP8	3	24	
MRPL2	3	24	
MRPL36	3	24	
MRPS26	3	24	
N6AMT2	3	24	
NDUFA4	3	24	
NDUFS7	3	24	
NPM3	3	24	
NPM3-PS1	3	24	
POLR2F	3	24	
POLR2L	3	24	
PPP2R4	3	24	
PRKCSH	3	24	
PTPRS	3	24	
QDPR	3	24	
RPN1	3	24	
SLC35A4	3	24	
SRL	3	24	
TMEM147	3	24	
TSGA10IP	3	24	
UQCRC1	3	24	
UXT	3	24	
WDR55	3	24	
ZNRD1	3	24	
2310061C15RIK	3	25	
ADCY6	3	25	
APOOL	3	25	
ARL3	3	25	
ATPIF1	3	25	
CAPRIN2	3	25	
CBARA1	3	25	
COMMD3	3	25	
EID1	3	25	
EIF4H	3	25	
FANCL	3	25	
GINS3	3	25	
GOT2	3	25	
HAX1	3	25	
IFT57	3	25	
LLPH	3	25	
MRPL48	3	25	
NANS	3	25	
NFYA	3	25	
PCGF5	3	25	
PDK3	3	25	
POLR2G	3	25	
POMP	3	25	
PSMA4	3	25	
PSMB7	3	25	
PSMB8	3	25	
PSMD10	3	25	
PTCD2	3	25	
RAI12	3	25	
RPS27L	3	25	
STARD7	3	25	
TCEB1	3	25	
TTC9C	3	25	
TXNDC9	3	25	
ACTR6	3	26	
GNPNAT1	3	26	
GTF2H3	3	26	
GTF3C6	3	26	
HSPH1	3	26	
POLR1A	3	26	
PSMD5	3	26	
TAF1A	3	26	
TXNDC14	3	26	
WDR73	3	26	
1810074P20RIK	3	27	
AGTPBP1	3	27	
ATP11C	3	27	
CCNC	3	27	
FAM111A	3	27	
KRAS	3	27	
MOBKL3	3	27	
MORC3	3	27	
NSF	3	27	
ROD1	3	27	
SNX27	3	27	
TMEM161B	3	27	
UHRF1BP1L	3	27	
XIAP	3	27	
ZFP715	3	27	
ACSF2	3	28	
ADPGK	3	28	
B330016D10RIK	3	28	
GPD1L	3	28	
NDST1	3	28	
RTN4IP1	3	28	
SDAD1	3	28	
SLC10A7	3	28	
SLC30A5	3	28	
STT3B	3	28	
TUBGCP5	3	28	
ZDHHC13	3	28	
ZFP706	3	28	
5033414D02RIK	3	29	
BC063263	3	29	
C330018D20RIK	3	29	
CASD1	3	29	
CHORDC1	3	29	
CLDND1	3	29	
DLD	3	29	
DNAJA1	3	29	
ECHDC1	3	29	
GM15542	3	29	
GTF2H2	3	29	
HNRNPC	3	29	
MRPL1	3	29	
MYNN	3	29	
NAE1	3	29	
NEK1	3	29	
NMT2	3	29	
PSMC6	3	29	
RAP2C	3	29	
RNF170	3	29	
SCARNA8	3	29	
SEC63	3	29	
TFB2M	3	29	
THUMPD3	3	29	
TMEM167	3	29	
TMEM188	3	29	
TRIM23	3	29	
UBA3	3	29	
ZBTB33	3	29	
ZDHHC21	3	29	
BC031353	3	30	
CD46	3	30	
CEP63	3	30	
CTSO	3	30	
DNAJC7	3	30	
FAM116A	3	30	
GPR21	3	30	
GTDC1	3	30	
LRIG2	3	30	
MAN1A	3	30	
OTUD1	3	30	
PTBP2	3	30	
ZDHHC17	3	30	
ZRANB1	3	30	
GM11263	4	31	
GM12643	4	31	
GM13208	4	31	
GM14165	4	31	
GM15653	4	31	
GM5502	4	31	
GM5921	4	31	
GM7246	4	31	
GM7691	4	31	
GM8936	4	31	
LOC100047986	4	31	
RPL36A	4	31	
RPSA	4	31	
ATP5E	4	32	
ATP5L	4	32	
GM11810	4	32	
GM14072	4	32	
GM6134	4	32	
GM6394	4	32	
GM7079	4	32	
GM7730	4	32	
GM8290	4	32	
INO80	4	32	
PFDN5	4	32	
PIN4	4	32	
PPM1F	4	32	
PSMA3	4	32	
RPL22L1	4	32	
RPL35A	4	32	
RPL37	4	32	
RPS12	4	32	
RPS21	4	32	
RPS27A	4	32	
RPS28	4	32	
RPS29	4	32	
SEC61B	4	32	
SEC61G	4	32	
UQCRH	4	32	
2700097O09RIK	4	33	
AI462493	4	33	
CHURC1	4	33	
EIF3K	4	33	
GM10072	4	33	
GM5215	4	33	
GM6251	4	33	
GM7780	4	33	
GM8444	4	33	
GM9457	4	33	
GSTP1	4	33	
HINT1	4	33	
HSD17B10	4	33	
NOP10	4	33	
PARK7	4	33	
RABGGTB	4	33	
RABL4	4	33	
RPL10A	4	33	
RPL11	4	33	
RPL15	4	33	
RPL22	4	33	
RPL31	4	33	
RPL35	4	33	
RPL36AL	4	33	
RPL39	4	33	
RPL41	4	33	
RPLP1	4	33	
RPS15A	4	33	
RPS17	4	33	
RPS18	4	33	
RPS5	4	33	
4930401B11RIK	4	34	
CCDC53	4	34	
CNBP	4	34	
GM11472	4	34	
GM12760	4	34	
GM4483	4	34	
GM7299	4	34	
IGBP1	4	34	
RPL10	4	34	
RPL27	4	34	
RPL30	4	34	
RPL36	4	34	
RPL38	4	34	
RPL9	4	34	
TPT1	4	34	
CDH18	4	35	
EEF1B2	4	35	
EIF3E	4	35	
GM10136	4	35	
GM14251	4	35	
GM15772	4	35	
GM5121	4	35	
GM7285	4	35	
GM8624	4	35	
GM9197	4	35	
GNB2L1	4	35	
LOC546695	4	35	
LOC674623	4	35	
MARS2	4	35	
NOL7	4	35	
PDRG1	4	35	
RPL12	4	35	
RPL13A	4	35	
RPL14	4	35	
RPL23	4	35	
RPL26	4	35	
RPL34	4	35	
RPL37A	4	35	
RPL6	4	35	
RPS13	4	35	
RPS15	4	35	
RPS19	4	35	
RPS20	4	35	
RPS3	4	35	
RPS3A	4	35	
RPS4X	4	35	
RPS7	4	35	
RPS8	4	35	
UCHL3	4	35	
2900062L11RIK	5	36	
BC057079	5	36	
CELSR1	5	36	
ENTPD6	5	36	
FNTB	5	36	
GTF2I	5	36	
KCNN4	5	36	
LPHN1	5	36	
PDK1	5	36	
PLCG1	5	36	
SFMBT2	5	36	
SLC25A23	5	36	
SMYD3	5	36	
TTLL12	5	36	
USP36	5	36	
ABCB7	5	37	
ACOT2	5	37	
AI847670	5	37	
AMD1	5	37	
BCCIP	5	37	
BXDC2	5	37	
CBWD1	5	37	
DENR	5	37	
EEF1E1	5	37	
EIF2S1	5	37	
EIF4E	5	37	
ELP4	5	37	
ERI1	5	37	
EXOSC8	5	37	
FAM98A	5	37	
LAS1L	5	37	
MLH1	5	37	
MRPL11	5	37	
NMD3	5	37	
NME7	5	37	
NT5C3	5	37	
NUFIP1	5	37	
PPID	5	37	
PPIH	5	37	
RIOK2	5	37	
RNMT	5	37	
SF3A3	5	37	
SNRNP25	5	37	
SNRPA1	5	37	
TFB1M	5	37	
THOC7	5	37	
UTP6	5	37	
ZCCHC10	5	37	
4732471D19RIK	5	38	
ABCE1	5	38	
ANKRD28	5	38	
AW146020	5	38	
DARS	5	38	
DDX1	5	38	
DDX20	5	38	
DIS3	5	38	
DKC1	5	38	
GM5643	5	38	
GUF1	5	38	
HSPD1	5	38	
HUS1	5	38	
IPO11	5	38	
LYAR	5	38	
MEMO1	5	38	
MIRHG1	5	38	
NCL	5	38	
NKRF	5	38	
NOLC1	5	38	
NOP58	5	38	
PCGF6	5	38	
PTCD3	5	38	
RBBP7	5	38	
RPAP3	5	38	
RSL1D1	5	38	
SET	5	38	
TARBP1	5	38	
TRIM59	5	38	
TTC37	5	38	
ANKRD10	5	39	
C1GALT1	5	39	
CCDC52	5	39	
CENPQ	5	39	
FAM175A	5	39	
FKBP3	5	39	
FUBP1	5	39	
KBTBD8	5	39	
MDC1	5	39	
MPHOSPH9	5	39	
MSH3	5	39	
MTERFD3	5	39	
MTRR	5	39	
NANP	5	39	
PMS2	5	39	
RECQL	5	39	
RTEL1	5	39	
RTTN	5	39	
TAPT1	5	39	
TMEM209	5	39	
WDR51B	5	39	
ZW10	5	39	
2610039C10RIK	5	40	
2810416G20RIK	5	40	
ADA	5	40	
ATL2	5	40	
CCNH	5	40	
DERA	5	40	
EXOSC3	5	40	
GMCL1	5	40	
GSTT2	5	40	
HIBCH	5	40	
HN1	5	40	
LSM8	5	40	
MBNL3	5	40	
MED18	5	40	
MED30	5	40	
NFYB	5	40	
NUP35	5	40	
PAIP2	5	40	
PLA2G12A	5	40	
POLH	5	40	
POLR2B	5	40	
POT1A	5	40	
PPP1CC	5	40	
PPPDE2	5	40	
RAD1	5	40	
RAG1	5	40	
RAG2	5	40	
RNF157	5	40	
RPIA	5	40	
TUBE1	5	40	
UBR7	5	40	
XPC	5	40	
5730494M16RIK	5	41	
ALDH18A1	5	41	
CCDC101	5	41	
CDT1	5	41	
DDX18	5	41	
EEFSEC	5	41	
FASN	5	41	
GEMIN5	5	41	
ICT1	5	41	
IDH3A	5	41	
MRPS5	5	41	
MTHFD1L	5	41	
NOL9	5	41	
NT5C3L	5	41	
NUP188	5	41	
PHGDH	5	41	
POLR1E	5	41	
PRMT5	5	41	
RANGAP1	5	41	
SHMT2	5	41	
SLC16A1	5	41	
SLC35C1	5	41	
SLC39A6	5	41	
SLC7A1	5	41	
STIP1	5	41	
TSGA14	5	41	
UCK2	5	41	
ARL2BP	5	42	
CDH24	5	42	
E2F4	5	42	
EPB4.1	5	42	
EPHB6	5	42	
GFI1	5	42	
GNB1L	5	42	
GSK3A	5	42	
HCFC1	5	42	
HEATR2	5	42	
LDOC1L	5	42	
LRRC1	5	42	
MAZ	5	42	
MTA1	5	42	
PATZ1	5	42	
PTCH1	5	42	
RAD54L2	5	42	
RAVER1	5	42	
REPS1	5	42	
SAPS1	5	42	
SDR39U1	5	42	
SMARCD1	5	42	
TCFE2A	5	42	
TRAF4	5	42	
TRP53	5	42	
TSC22D4	5	42	
UBAP2	5	42	
WDR6	5	42	
ZDHHC8	5	42	
ZFP553	5	42	
ZFPM1	5	42	
1300001I01RIK	5	43	
2700023E23RIK	5	43	
ALG8	5	43	
APEX1	5	43	
ATAD3A	5	43	
ATIC	5	43	
CHCHD4	5	43	
ECE2	5	43	
EXOSC2	5	43	
EXOSC5	5	43	
GM16379	5	43	
GPATCH4	5	43	
IFRD2	5	43	
IPO4	5	43	
ISYNA1	5	43	
KAT2A	5	43	
MECR	5	43	
METTL1	5	43	
MIF	5	43	
MRPS18B	5	43	
MTHFD1	5	43	
MYBBP1A	5	43	
MYC	5	43	
NOP16	5	43	
NOP2	5	43	
PES1	5	43	
PHB	5	43	
POLR1B	5	43	
PPAN	5	43	
PPP1R14B	5	43	
PPRC1	5	43	
PRMT7	5	43	
PUS7	5	43	
RCL1	5	43	
REXO2	5	43	
RPP38	5	43	
RRP12	5	43	
RRP15	5	43	
RRP1B	5	43	
RRP9	5	43	
SLC19A1	5	43	
SLC7A5	5	43	
SMYD5	5	43	
SRM	5	43	
TIMM10	5	43	
TRMT1	5	43	
TRMT61A	5	43	
UBE2CBP	5	43	
WDR46	5	43	
ACACA	5	44	
ANKRD49	5	44	
EG665955	5	44	
EIF2A	5	44	
GMPS	5	44	
GTPBP10	5	44	
HSP90AA1	5	44	
IPO7	5	44	
PSMD1	5	44	
PTGES3	5	44	
TGS1	5	44	
USP14	5	44	
YWHAE	5	44	
2610024G14RIK	5	45	
ATPBD4	5	45	
CIRH1A	5	45	
D10WSU102E	5	45	
D19BWG1357E	5	45	
DIMT1	5	45	
DUS4L	5	45	
FARSB	5	45	
FASTKD2	5	45	
